GeneID	log2(FC)
FBgn0013685	0.651121715079425
FBgn0035076	0.720004956440598
FBgn0029870	-0.288873188313741
FBgn0261261	-0.355535569331135
FBgn0027929	0.420824440306881
FBgn0026319	0.404510960442921
FBgn0265003	0.282035627832589
FBgn0002891	0.319984434154049
FBgn0265706	-0.727441449611898
FBgn0033364	-0.587869550846588
FBgn0000535	-0.528978278192054
FBgn0030026	0.47120998225483
FBgn0030361	0.531463679823767
FBgn0260450	0.379746744431473
FBgn0029504	-0.361418718547136
FBgn0261285	-0.408194067207629
FBgn0039797	-0.451483487356613
FBgn0025352	-0.291305469252563
FBgn0051125	0.714078969443809
FBgn0040660	-0.316858185991957
FBgn0063494	0.338378619473569
FBgn0036857	-0.370664684700364
FBti0063710	0.662752108355537
FBgn0038651	-0.282734554710285
FBgn0022702	0.558110386448037
FBgn0063491	0.377321837979257
FBgn0039525	0.409211185279051
FBgn0283531	-0.711306559938156
FBgn0033890	-0.359943035254322
FBgn0267470	0.655335259224271
FBgn0022213	0.271643297431085
FBgn0086370	-0.30116581562307
FBgn0261983	-0.302829688810763
FBgn0025693	-0.32578785505852
FBgn0035539	0.705196668742571
FBgn0004861	-0.38961852303499
FBgn0028717	-0.282318259664256
FBgn0000147	0.415985706514174
FBgn0265011	-0.648093991415404
FBgn0028491	0.513857371967325
FBgn0016694	-0.445919405703856
FBgn0052185	0.706949306303293
FBgn0023537	-0.32879503901431
FBgn0031399	-0.324067730417576
FBgn0262782	0.314488515216044
FBgn0041627	0.356701313153047
FBgn0001942	-0.265151262780853
FBgn0027620	-0.290365811054921
FBgn0037539	-0.370498785069421
FBgn0029861	0.341246144330929
FBgn0033717	-0.28673446442108
FBgn0034564	0.404814007940099
FBgn0035148	0.311179495983282
FBgn0036746	-0.388731225913112
FBgn0053460	-0.37463662789365
FBgn0037672	0.544992075305999
FBgn0029893	-0.329275561612627
FBgn0037917	-0.344985759198846
FBgn0034914	0.286162993223605
FBgn0039006	0.329820478560856
FBgn0031771	-0.284675539490639
FBgn0000578	-0.311891398457831
